--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesAdapter;--->fillCardContents(Landroid/content/Context;Lcom/notriddle/budget/EnvelopesAdapter$CardContents;Landroid/database/Cursor;)V
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/EditMoney;--->toColoredMoney(Landroid/content/Context;J)Ljava/lang/CharSequence;
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/EditMoney;--->toMoneyBuilder(JLjava/lang/Appendable;)Ljava/lang/Appendable;
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView;--->setInnerView(Landroid/view/View;)V
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/CheckableLinearLayout;--->setChecked(Z)V
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getItemViewType(I)I
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getCount()I
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getCount()I
08-20 20:35:55.170 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:35:55.170 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView;---><init>(Landroid/content/Context;)V
08-20 20:35:55.170 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView;--->init(Landroid/content/Context;)V
08-20 20:35:55.170 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView$1;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:35:55.170 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView$2;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:35:55.170 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView$3;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:35:55.170 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView;--->setSwipeBackgroundResource(I)V
08-20 20:35:55.170 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:35:55.170 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:35:55.170 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:35:55.170 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesAdapter;--->newView(Landroid/content/Context;Landroid/database/Cursor;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:35:55.170 D/M_InsDal( 2399): Lcom/notriddle/budget/CheckableLinearLayout;---><init>(Landroid/content/Context;Landroid/util/AttributeSet;)V
08-20 20:35:55.170 D/M_InsDal( 2399): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:35:55.170 D/M_InsDal( 2399): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:35:55.180 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesAdapter$CardContents;---><init>(Landroid/view/View;)V
08-20 20:35:55.180 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesAdapter;--->fillCardContents(Landroid/content/Context;Lcom/notriddle/budget/EnvelopesAdapter$CardContents;Landroid/database/Cursor;)V
08-20 20:35:55.180 D/M_InsDal( 2399): Lcom/notriddle/budget/EditMoney;--->toColoredMoney(Landroid/content/Context;J)Ljava/lang/CharSequence;
08-20 20:35:55.180 D/M_InsDal( 2399): Lcom/notriddle/budget/EditMoney;--->toMoneyBuilder(JLjava/lang/Appendable;)Ljava/lang/Appendable;
08-20 20:35:55.180 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:35:55.180 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesAdapter;--->bindView(Landroid/view/View;Landroid/content/Context;Landroid/database/Cursor;)V
08-20 20:35:55.180 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesAdapter;--->fillCardContents(Landroid/content/Context;Lcom/notriddle/budget/EnvelopesAdapter$CardContents;Landroid/database/Cursor;)V
